0x004739ac    3 160          sym.mg_json_get_long
0x00473140    8 320          sym.mg_json_get_num
0x0048bfb4    1 84           sym.cJSON_DetachItemFromObject
0x0048b2e4    1 68           sym.cJSON_GetObjectItem
0x0048bdd8   15 288          sym.cJSON_DetachItemViaPointer
0x0047f2f0    5 164          sym.mg_sntp_connect
0x00479800    1 80           sym.mg_pfn_iobuf
0x0040c050    3 76           dbg.safe_free
0x00479450    1 36           sym.mg_ota_commit
0x0042f9c4    6 168          dbg.history_reset_current_job
0x00417dbc   23 1000         dbg.process_metadata_update
0x0048d9b8    4 84           sym.cJSON_IsTrue
0x0046d46c    1 92           sym.mg_http_printf_chunk
0x0045ff54   25 668          dbg.ordered_dict_del
0x0042abb8   17 528          dbg.remove_watch
0x00485404    1 232          sym.mg_millis
0x004a0ad0    1 16           fcn.004a0ad0
0x00430710    8 868          dbg.printer_job_new
0x0042da94   14 676          dbg.file_list_thread_init
0x00437b70    7 992  -> 416  dbg.job_queue_init
0x0046db68    1 128          sym.mg_http_etag
0x004735bc    7 300          sym.mg_json_get_str
0x004723b4  155 3296         sym.mg_json_get
0x004a0ab0    1 16           fcn.004a0ab0
0x00481918    1 84           sym.mg_str_n
0x00473360   22 604          sym.mg_json_unescape
0x00466414    9 380          sym.log_add_callback
0x00466358    1 72           sym.log_set_lock
0x00477538   45 1280         sym.mg_mqtt_parse
0x0045fe08   12 332          dbg.ordered_dict_get
0x0040a230    7 256          dbg.server_unregister_timer
0x0046d9ac    6 336          sym.mg_http_reply
0x0045f2e0    1 24           dbg.trigger_coredump
0x00482c74   17 492          sym.mg_timer_expired
0x0048c914    3 116          sym.cJSON_CreateStringReference
0x0045d670    8 268          dbg.array_destroy
0x00460b50   11 476          dbg.ringbuf_push
0x00419b84    5 172          dbg.del_upload_dat_from_dict
0x00459ea4   18 500          dbg.proc_stats_free
0x00460fd4    3 112          dbg.ringbuf_destroy
0x004a0830    1 16           fcn.004a0830
0x0048bc50    4 136          sym.cJSON_AddRawToObject
0x004713ac    9 344          sym.mg_iobuf_add
0x00413a58    6 172          dbg.is_path_exists
0x00409380   53 2016         dbg.server_load_components
0x0045d77c    8 216          dbg.array_print
0x0048b158    4 92           sym.cJSON_GetArrayItem
0x0047a508    1 132          sym.mg_print_base64
0x0048da0c    4 80           sym.cJSON_IsBool
0x004199d8    3 76           dbg.upload_clear_dat
0x00462464    4 100          dbg.trim_spaces
0x0048b98c    4 128          sym.cJSON_AddTrueToObject
0x0048d7b0    9 356  -> 200  sym.cJSON_Minify
0x0048f3a0    1 32           sym.__stat
0x0043d114   30 1260         dbg.klippy_start
0x0045cdac   12 244          dbg.supervisord_cli_provide_init
